               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1049,            0.061243,            0.031584,             0.35611,            0.078052,            0.011597,            0.003235,            0.081348,            0.052097,            0.025821,            0.070698,           0.0032558,           0.0032558
                   1,            0.078798,            0.051113,             0.02095,             0.75011,             0.14022,            0.079753,            0.026195,            0.080508,            0.034852,            0.024128,            0.040567,           0.0064587,           0.0064587
                   2,            0.075179,            0.041933,            0.018757,              0.8077,             0.17052,             0.16275,            0.055014,            0.069409,             0.03057,            0.022902,            0.010305,           0.0095296,           0.0095296
                   3,            0.069119,            0.038993,            0.018077,             0.83087,             0.19158,             0.21144,            0.085006,            0.061804,            0.029249,            0.021821,            0.009406,            0.009406,            0.009406
                   4,            0.061232,            0.038019,            0.017694,              0.8804,             0.22548,             0.30417,             0.11584,            0.049486,            0.028265,            0.019913,            0.009406,            0.009406,            0.009406
                   5,            0.054276,            0.036841,             0.01732,             0.59755,             0.44975,             0.37887,             0.14574,            0.050638,            0.028401,            0.018045,            0.009208,            0.009208,            0.009208
                   6,            0.048909,            0.034593,            0.014536,             0.67416,              0.4818,             0.48548,             0.23306,            0.042444,            0.027048,            0.015067,             0.00901,             0.00901,             0.00901
                   7,            0.045132,            0.033716,            0.011743,             0.82817,              0.4837,             0.53337,             0.26475,            0.040937,            0.025632,            0.013787,            0.008812,            0.008812,            0.008812
                   8,            0.043975,            0.033299,            0.009824,             0.88638,             0.48859,              0.5492,             0.27788,             0.04109,            0.026192,            0.012836,            0.008614,            0.008614,            0.008614
                   9,            0.042187,            0.034178,           0.0090073,             0.87693,             0.50821,             0.56833,             0.26133,            0.042469,            0.025199,            0.010703,            0.008416,            0.008416,            0.008416
                  10,            0.041083,            0.034481,           0.0084264,             0.90073,             0.52251,             0.60051,             0.30676,            0.036797,             0.02468,            0.010398,            0.008218,            0.008218,            0.008218
                  11,            0.039957,            0.032374,           0.0080565,             0.87762,             0.54402,             0.61339,             0.34116,            0.036322,            0.024534,           0.0097596,             0.00802,             0.00802,             0.00802
                  12,             0.03759,            0.031026,           0.0080479,             0.91805,             0.52418,             0.62357,             0.34402,            0.034202,            0.024535,           0.0093859,            0.007822,            0.007822,            0.007822
                  13,            0.036443,            0.029925,           0.0072081,             0.89944,             0.53714,             0.62567,             0.35735,            0.032256,            0.023543,           0.0087877,            0.007624,            0.007624,            0.007624
                  14,            0.036755,             0.02944,           0.0074632,             0.89844,             0.54585,             0.63531,             0.37088,            0.032333,            0.024258,            0.008448,            0.007426,            0.007426,            0.007426
                  15,            0.035492,            0.030617,           0.0065592,             0.89074,             0.54444,             0.63021,             0.36585,             0.03289,            0.024479,            0.008199,            0.007228,            0.007228,            0.007228
                  16,            0.034931,            0.032048,           0.0068126,             0.89384,             0.54419,             0.66772,             0.39503,            0.031533,            0.023466,           0.0081841,             0.00703,             0.00703,             0.00703
                  17,            0.033797,            0.031046,           0.0062102,             0.91724,              0.5356,             0.67174,             0.40684,             0.03001,            0.023878,           0.0076187,            0.006832,            0.006832,            0.006832
                  18,            0.033384,            0.031009,           0.0058644,             0.91487,             0.53445,             0.68759,             0.41381,            0.031194,            0.023806,           0.0074581,            0.006634,            0.006634,            0.006634
                  19,            0.032715,            0.030058,           0.0058846,             0.90671,             0.54072,             0.66113,             0.38966,            0.030747,            0.023958,           0.0076251,            0.006436,            0.006436,            0.006436
                  20,            0.031497,             0.02684,           0.0053045,              0.9026,             0.54394,             0.65095,             0.38096,            0.031683,            0.023744,           0.0077222,            0.006238,            0.006238,            0.006238
                  21,            0.030417,             0.02917,           0.0060309,             0.92331,             0.53151,             0.65018,             0.39623,             0.02988,            0.023758,           0.0074286,             0.00604,             0.00604,             0.00604
                  22,            0.030461,            0.029566,           0.0053851,             0.94093,             0.51258,             0.65994,              0.3922,            0.030899,            0.024408,           0.0070632,            0.005842,            0.005842,            0.005842
                  23,            0.030507,            0.027887,           0.0056088,             0.90764,             0.55247,             0.66588,             0.40404,            0.029009,            0.024015,           0.0067879,            0.005644,            0.005644,            0.005644
                  24,            0.030203,            0.029179,           0.0056693,             0.92225,             0.52992,             0.66241,             0.40817,            0.028747,            0.023761,           0.0068064,            0.005446,            0.005446,            0.005446
                  25,            0.029146,            0.027204,           0.0052319,             0.91313,             0.54692,             0.67474,             0.41103,            0.028579,            0.023569,           0.0072004,            0.005248,            0.005248,            0.005248
                  26,            0.029153,            0.027436,            0.005287,             0.55262,             0.67806,              0.6918,             0.43771,            0.027871,            0.023715,           0.0066908,             0.00505,             0.00505,             0.00505
                  27,            0.028326,             0.02694,           0.0047027,             0.92519,             0.52871,             0.65212,             0.41514,            0.027617,            0.023578,           0.0065982,            0.004852,            0.004852,            0.004852
                  28,            0.028254,            0.026535,             0.00513,              0.5625,             0.68576,             0.69164,              0.4366,             0.02774,            0.023892,            0.006985,            0.004654,            0.004654,            0.004654
                  29,            0.026801,            0.026091,           0.0052402,             0.57894,              0.6934,             0.69179,             0.44801,            0.027034,            0.023435,           0.0063983,            0.004456,            0.004456,            0.004456
                  30,            0.026755,             0.02581,           0.0045277,             0.61911,             0.69142,             0.69754,             0.43862,             0.02797,            0.024093,           0.0065563,            0.004258,            0.004258,            0.004258
                  31,            0.026559,            0.026921,           0.0047486,             0.66899,              0.7231,              0.7505,             0.46025,            0.027561,            0.023698,           0.0062368,             0.00406,             0.00406,             0.00406
                  32,            0.026978,            0.028345,           0.0044151,             0.67226,             0.70205,             0.73715,             0.45425,            0.027326,            0.023469,            0.006116,            0.003862,            0.003862,            0.003862
                  33,            0.026042,            0.025395,           0.0040007,             0.68832,             0.70382,             0.73595,             0.48047,            0.026498,            0.023131,           0.0058344,            0.003664,            0.003664,            0.003664
                  34,            0.025549,            0.027298,           0.0041257,             0.62147,             0.70216,             0.74626,             0.47096,            0.026474,            0.023476,           0.0058194,            0.003466,            0.003466,            0.003466
                  35,            0.025859,             0.02636,           0.0042518,             0.62108,             0.77058,             0.72908,             0.46985,            0.026353,            0.023333,           0.0062323,            0.003268,            0.003268,            0.003268
                  36,            0.025003,            0.026464,           0.0038984,             0.62462,             0.73873,             0.73951,             0.47123,            0.027068,            0.023575,           0.0061618,             0.00307,             0.00307,             0.00307
                  37,            0.024764,            0.025525,           0.0042563,             0.73996,             0.72932,             0.75244,             0.48293,            0.026941,            0.024024,            0.005635,            0.002872,            0.002872,            0.002872
                  38,            0.024676,            0.026231,           0.0039919,             0.68353,             0.75508,             0.76181,               0.491,            0.026086,            0.023399,            0.005565,            0.002674,            0.002674,            0.002674
                  39,            0.024585,            0.026124,            0.003702,             0.73495,             0.75138,             0.76609,             0.49566,            0.025823,            0.023636,           0.0054789,            0.002476,            0.002476,            0.002476
                  40,            0.023923,            0.025801,           0.0040502,             0.70355,             0.77199,             0.75762,             0.49148,            0.025788,            0.023404,           0.0054796,            0.002278,            0.002278,            0.002278
                  41,            0.023505,            0.025393,           0.0035718,             0.76101,             0.76331,             0.76182,             0.49098,            0.025949,            0.023746,           0.0053584,             0.00208,             0.00208,             0.00208
                  42,             0.02272,            0.024506,            0.003204,             0.72778,             0.76232,             0.76306,             0.49345,            0.025627,            0.023362,           0.0053293,            0.001882,            0.001882,            0.001882
                  43,            0.023145,            0.025472,            0.003229,             0.76555,              0.7869,             0.78834,             0.49379,            0.025701,            0.023389,           0.0049596,            0.001684,            0.001684,            0.001684
                  44,            0.022458,            0.023829,           0.0030958,             0.77152,             0.73077,             0.76106,              0.4913,            0.025755,            0.023536,           0.0051581,            0.001486,            0.001486,            0.001486
                  45,            0.022151,            0.024487,           0.0028544,             0.79368,             0.77372,             0.78253,             0.50777,            0.025497,            0.023548,           0.0050092,            0.001288,            0.001288,            0.001288
                  46,            0.022251,            0.024062,           0.0033427,             0.74211,             0.77049,             0.76642,              0.4894,            0.025815,            0.023605,            0.005011,             0.00109,             0.00109,             0.00109
                  47,            0.022296,            0.024472,           0.0027169,             0.82474,             0.70032,             0.76662,              0.4971,            0.025498,            0.023903,           0.0049888,            0.000892,            0.000892,            0.000892
                  48,            0.022475,            0.024471,            0.002658,             0.75039,             0.73293,             0.75356,             0.48996,            0.025289,            0.023823,           0.0051134,            0.000694,            0.000694,            0.000694
                  49,            0.022008,            0.025361,           0.0029275,             0.74415,             0.74654,             0.75841,             0.49288,            0.025329,            0.023662,           0.0050617,            0.000496,            0.000496,            0.000496
